Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 23:15:46,1,10.5,53.56,1.0,11.6,39.8,On,5.52,22.28,
05/06/2020 23:19:47,2,10.8,55.02,0.75,11.6,39.8,On,5.46,22.21,
05/06/2020 23:23:48,3,17.4,54.04,1.0,11.6,39.8,On,5.39,22.14,
05/06/2020 23:27:49,4,11.7,54.04,0.75,11.6,39.8,On,5.32,22.08,
05/06/2020 23:31:51,5,8.7,55.02,1.5,11.6,39.8,On,5.25,22.01,
05/06/2020 23:35:52,6,11.5,54.04,0.75,11.6,39.8,On,5.19,21.94,
05/06/2020 23:39:53,7,11.0,53.07,1.0,11.6,39.8,On,5.12,21.88,
05/06/2020 23:43:54,8,12.4,54.53,1.0,11.6,39.8,On,5.05,21.81,
05/06/2020 23:47:55,9,17.8,54.04,1.5,11.6,39.8,On,4.99,21.74,
05/06/2020 23:51:57,10,15.7,54.04,1.0,11.6,39.8,On,4.92,21.68,
05/06/2020 23:55:58,11,11.7,53.56,1.0,11.6,39.8,On,4.85,21.61,
05/06/2020 23:59:59,12,11.8,54.04,1.5,11.6,39.8,On,4.79,21.54,
06/06/2020 00:04:00,13,13.0,54.04,1.0,11.6,39.8,On,4.72,21.47,
06/06/2020 00:08:02,14,10.8,55.5,0.75,11.6,39.8,On,4.65,21.41,
06/06/2020 00:12:03,15,13.0,54.53,1.0,11.6,39.8,On,4.58,21.34,
06/06/2020 00:16:04,16,19.1,53.56,1.0,11.6,39.8,On,4.52,21.27,
06/06/2020 00:20:05,17,9.8,55.02,1.0,11.6,39.8,On,4.45,21.21,
06/06/2020 00:24:06,18,13.2,53.56,0.75,11.6,39.8,On,4.38,21.14,
06/06/2020 00:28:07,19,10.7,54.53,0.75,11.6,39.8,On,4.32,21.07,
06/06/2020 00:32:09,20,7.6,55.5,0.75,11.6,39.8,On,4.25,21.01,
06/06/2020 00:36:10,21,11.9,54.04,1.0,11.6,39.8,On,4.18,20.94,
06/06/2020 00:40:11,22,17.1,55.02,1.0,11.6,39.8,On,4.12,20.87,
06/06/2020 00:44:12,23,14.1,54.04,1.0,11.6,39.8,On,4.05,20.8,
06/06/2020 00:48:13,24,13.1,55.02,1.0,11.6,39.8,On,3.98,20.74,
06/06/2020 00:52:15,25,11.3,54.53,1.0,11.6,39.8,On,3.91,20.67,
06/06/2020 00:56:16,26,13.1,54.04,0.75,11.6,39.8,On,3.85,20.6,
06/06/2020 01:00:17,27,9.2,54.53,1.0,11.6,39.8,On,3.78,20.54,
06/06/2020 01:04:18,28,13.8,54.53,1.0,11.6,39.8,On,3.71,20.47,
06/06/2020 01:08:20,29,15.0,54.04,1.0,11.6,39.8,On,3.65,20.4,
06/06/2020 01:12:21,30,14.0,54.04,1.0,11.6,39.8,On,3.58,20.34,
06/06/2020 01:16:22,31,11.3,54.53,1.0,11.6,39.8,On,3.51,20.27,
06/06/2020 01:20:23,32,11.1,55.02,1.0,11.6,39.8,On,3.45,20.2,
06/06/2020 01:24:25,33,10.6,54.53,1.0,11.6,39.8,On,3.38,20.13,
06/06/2020 01:28:26,34,7.2,55.02,0.75,11.6,39.8,On,3.31,20.07,
06/06/2020 01:32:27,35,18.2,55.02,1.0,11.6,39.8,On,3.24,20.0,
06/06/2020 01:36:28,36,11.7,53.07,1.0,11.6,39.8,On,3.18,19.93,
06/06/2020 01:40:30,37,11.5,55.5,1.0,11.6,39.8,On,3.11,19.87,
06/06/2020 01:44:31,38,8.4,54.53,0.75,11.6,39.8,On,3.04,19.8,
06/06/2020 01:48:32,39,10.0,54.04,1.0,11.6,39.8,On,2.98,19.73,
06/06/2020 01:52:33,40,12.4,54.53,0.75,11.6,39.8,On,2.91,19.67,
06/06/2020 01:56:34,41,12.0,54.04,0.75,11.6,39.8,On,2.84,19.6,
06/06/2020 02:00:35,42,14.9,54.04,1.0,11.6,39.8,On,2.78,19.53,
06/06/2020 02:04:37,43,11.9,54.04,1.0,11.7,39.8,On,2.71,19.46,
06/06/2020 02:08:38,44,12.1,54.53,0.75,11.6,39.8,On,2.64,19.4,
06/06/2020 02:12:39,45,12.0,54.53,1.0,11.6,39.8,On,2.57,19.33,
06/06/2020 02:16:40,46,11.2,54.53,1.0,11.6,39.8,On,2.51,19.26,
06/06/2020 02:20:41,47,12.5,55.5,0.75,11.6,39.8,On,2.44,19.2,
06/06/2020 02:24:42,48,19.2,54.53,0.75,11.6,39.8,On,2.37,19.13,
06/06/2020 02:28:44,49,10.4,54.53,1.0,11.6,39.8,On,2.31,19.06,
06/06/2020 02:32:45,50,12.2,54.53,0.75,11.6,39.8,On,2.24,19.0,
06/06/2020 02:36:46,51,11.5,54.53,1.0,11.6,39.8,On,2.17,18.93,
06/06/2020 02:40:47,52,11.7,54.04,1.0,11.6,39.8,On,2.11,18.86,
06/06/2020 02:44:49,53,9.8,55.5,1.0,11.6,39.8,On,2.04,18.79,
06/06/2020 02:48:50,54,15.9,55.02,1.5,11.6,39.8,On,1.97,18.73,
06/06/2020 02:52:51,55,12.3,55.5,1.0,11.6,39.8,On,1.9,18.66,
06/06/2020 02:56:52,56,12.7,55.02,1.0,11.6,39.8,On,1.84,18.59,
06/06/2020 03:00:53,57,8.7,54.04,0.75,11.6,39.8,On,1.77,18.53,
06/06/2020 03:04:54,58,11.8,55.02,1.0,11.6,39.8,On,1.7,18.46,
06/06/2020 03:08:56,59,11.4,54.53,1.0,11.6,39.8,On,1.64,18.39,
06/06/2020 03:12:57,60,12.7,54.53,1.0,11.7,39.8,On,1.57,18.33,
06/06/2020 03:16:58,61,17.8,55.5,1.0,11.6,39.8,On,1.5,18.26,
06/06/2020 03:21:00,62,11.6,54.53,1.0,11.6,39.8,On,1.44,18.19,
06/06/2020 03:25:01,63,10.8,54.53,1.5,11.6,39.8,On,1.37,18.12,
06/06/2020 03:29:02,64,11.0,54.53,1.0,11.6,39.8,On,1.3,18.06,
06/06/2020 03:33:03,65,11.5,54.53,0.75,11.6,39.8,On,1.23,17.99,
06/06/2020 03:37:04,66,11.5,54.53,1.0,11.6,39.8,On,1.17,17.92,
06/06/2020 03:41:05,67,19.7,54.53,0.75,11.6,39.8,On,1.1,17.86,
06/06/2020 03:45:06,68,14.3,53.56,0.75,11.6,39.8,On,1.03,17.79,
06/06/2020 03:49:08,69,11.4,54.04,0.75,11.6,39.8,On,0.97,17.72,
06/06/2020 03:53:09,70,12.4,54.04,1.0,11.6,39.8,On,0.9,17.66,
06/06/2020 03:57:10,71,10.4,54.04,0.75,11.6,39.8,On,0.83,17.59,
06/06/2020 04:01:11,72,9.0,54.53,1.0,11.6,39.8,On,0.77,17.52,
06/06/2020 04:05:13,73,14.9,54.53,1.0,11.6,39.8,On,0.7,17.45,
06/06/2020 04:09:14,74,20.6,54.53,1.0,11.7,39.8,On,0.63,17.39,
06/06/2020 04:13:15,75,12.0,54.53,1.0,11.6,39.8,On,0.56,17.32,
06/06/2020 04:17:16,76,11.9,54.04,1.0,11.6,39.8,On,0.5,17.25,
06/06/2020 04:21:18,77,10.5,54.04,1.5,11.6,39.8,On,0.43,17.19,
06/06/2020 04:25:19,78,12.9,54.53,0.75,11.7,39.8,On,0.36,17.12,
06/06/2020 04:29:20,79,11.2,54.53,1.0,11.6,39.8,On,0.3,17.05,
06/06/2020 04:33:21,80,18.1,54.53,1.0,11.6,39.8,On,0.23,16.99,
06/06/2020 04:37:22,81,11.8,54.53,1.0,11.6,39.8,On,0.16,16.92,
06/06/2020 04:41:24,82,11.3,55.02,0.75,11.6,39.8,On,0.1,16.85,
06/06/2020 04:45:25,83,12.2,55.02,1.0,11.6,39.8,On,0.03,16.78,
06/06/2020 04:49:26,84,11.7,54.04,0.75,11.6,39.8,Off,23.96,16.72,
06/06/2020 04:53:28,85,11.0,54.53,1.5,11.6,39.8,Off,23.89,16.65,
06/06/2020 04:57:29,86,12.6,55.02,1.0,11.6,39.8,Off,23.83,16.58,
06/06/2020 05:01:30,87,18.0,55.02,1.0,11.6,39.8,Off,23.76,16.52,
