Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
24/06/2020 14:48:00,1,17.6,63.3,1.5,9.8,51.4,Off,13.96,6.89,
24/06/2020 14:48:11,2,81.0,68.65,1.5,11.6,51.5,Off,13.96,6.88,
24/06/2020 14:48:22,3,13.3,65.73,0.75,11.6,51.5,Off,13.96,6.88,
24/06/2020 14:48:33,4,7.8,64.27,0.75,11.5,51.5,Off,13.95,6.88,
24/06/2020 14:49:23,5,8.0,64.27,1.0,11.1,51.5,Off,13.94,6.86,
24/06/2020 14:49:34,6,5.7,63.78,1.5,11.1,51.5,Off,13.94,6.86,
24/06/2020 14:49:45,7,7.8,63.78,0.75,11.1,51.5,Off,13.93,6.86,
24/06/2020 14:49:56,8,11.5,63.3,0.75,11.1,51.5,Off,13.93,6.85,
24/06/2020 14:50:08,9,5.8,62.81,0.75,11.1,51.5,Off,13.93,6.85,
24/06/2020 14:50:19,10,5.7,62.32,1.5,11.1,51.5,Off,13.92,6.85,
24/06/2020 14:50:30,11,5.3,62.81,0.75,11.1,51.5,Off,13.92,6.84,
24/06/2020 14:50:41,12,5.7,63.78,0.75,11.2,51.5,Off,13.92,6.84,
24/06/2020 14:50:53,13,5.3,62.81,0.75,11.3,51.5,Off,13.91,6.84,
24/06/2020 14:51:04,14,5.6,62.81,0.6,11.3,51.5,Off,13.91,6.83,
24/06/2020 14:51:15,15,8.9,62.32,1.0,11.3,51.5,Off,13.91,6.83,
24/06/2020 14:51:26,16,11.4,62.32,1.0,11.3,51.5,Off,13.91,6.83,
24/06/2020 14:51:37,17,5.8,61.84,0.75,11.3,51.5,Off,13.9,6.83,
24/06/2020 14:51:48,18,6.2,62.32,0.6,11.3,51.5,Off,13.9,6.82,
24/06/2020 14:51:59,19,5.3,62.32,0.6,11.3,51.5,Off,13.9,6.82,
24/06/2020 14:52:10,20,6.5,61.84,1.0,11.3,51.5,Off,13.89,6.82,
24/06/2020 14:52:21,21,7.2,61.84,1.0,11.3,51.5,Off,13.89,6.81,
24/06/2020 14:52:33,22,7.5,62.32,0.75,11.3,51.5,Off,13.89,6.81,
24/06/2020 14:52:44,23,10.8,62.81,1.0,11.3,51.5,Off,13.88,6.81,
24/06/2020 14:52:55,24,7.7,61.84,1.5,11.3,51.5,Off,13.88,6.8,
24/06/2020 14:53:06,25,9.1,62.32,1.0,11.3,51.5,Off,13.88,6.8,
24/06/2020 14:53:17,26,7.2,61.84,1.0,11.3,51.5,Off,13.87,6.8,
24/06/2020 14:53:28,27,7.3,62.32,0.75,11.3,51.5,Off,13.87,6.79,
24/06/2020 14:53:39,28,6.0,61.35,0.6,11.3,51.5,Off,13.87,6.79,
24/06/2020 14:53:51,29,6.0,61.84,0.6,11.3,51.5,Off,13.87,6.79,
24/06/2020 14:54:02,30,6.0,61.35,0.6,11.3,51.5,Off,13.86,6.79,
24/06/2020 14:54:13,31,14.0,62.32,0.75,11.3,51.5,Off,13.86,6.78,
24/06/2020 14:54:24,32,8.5,61.84,1.0,11.3,51.5,Off,13.86,6.78,
