Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 20:57:53,1,16.1,54.04,0.75,11.4,39.8,Off,7.82,0.56,
05/06/2020 20:58:04,2,15.0,53.56,1.0,11.4,39.8,Off,7.82,0.56,
05/06/2020 20:58:15,3,11.7,54.04,0.75,11.4,39.8,Off,7.81,0.55,
05/06/2020 20:58:26,4,11.5,53.56,1.0,11.4,39.8,Off,7.81,0.55,
05/06/2020 20:58:38,5,10.5,54.04,1.0,11.4,39.8,Off,7.81,0.55,
05/06/2020 20:58:49,6,9.0,54.04,1.5,11.4,39.8,Off,7.81,0.55,
05/06/2020 20:59:00,7,13.1,54.04,0.75,11.4,39.8,Off,7.8,0.54,
05/06/2020 20:59:11,8,14.2,53.56,1.0,11.4,39.8,Off,7.8,0.54,
05/06/2020 20:59:22,9,17.6,53.56,1.5,11.4,39.8,Off,7.8,0.54,
05/06/2020 20:59:33,10,12.9,53.56,1.0,11.4,39.8,Off,7.79,0.53,
05/06/2020 20:59:44,11,11.5,53.56,1.0,11.4,39.8,Off,7.79,0.53,
05/06/2020 20:59:55,12,12.3,54.04,0.75,11.4,39.8,Off,7.79,0.53,
05/06/2020 21:00:07,13,11.5,53.56,0.75,11.4,39.8,Off,7.78,0.52,
05/06/2020 21:00:18,14,9.7,54.04,1.0,11.4,39.8,Off,7.78,0.52,
05/06/2020 21:00:29,15,9.7,53.56,0.75,11.4,39.8,Off,7.78,0.52,
05/06/2020 21:00:40,16,15.5,54.53,0.75,11.4,39.8,Off,7.77,0.51,
05/06/2020 21:00:52,17,17.7,54.53,1.0,11.4,39.8,Off,7.77,0.51,
05/06/2020 21:01:03,18,8.6,54.53,0.75,11.4,39.8,Off,7.77,0.51,
05/06/2020 21:01:14,19,11.7,53.56,1.5,11.4,39.8,Off,7.77,0.5,
05/06/2020 21:01:25,20,10.9,54.04,1.0,11.4,39.8,Off,7.76,0.5,
05/06/2020 21:01:36,21,11.9,54.04,1.0,11.4,39.8,Off,7.76,0.5,
05/06/2020 21:01:47,22,15.2,54.53,0.75,11.4,39.8,Off,7.76,0.5,
05/06/2020 21:01:58,23,11.8,54.53,0.75,11.4,39.8,Off,7.75,0.49,
05/06/2020 21:02:09,24,15.2,54.04,1.0,11.4,39.8,Off,7.75,0.49,
05/06/2020 21:02:21,25,16.9,53.56,1.0,11.4,39.8,Off,7.75,0.49,
05/06/2020 21:02:32,26,12.4,53.07,1.5,11.4,39.8,Off,7.74,0.48,
05/06/2020 21:02:43,27,12.9,53.07,0.75,11.4,39.8,Off,7.74,0.48,
05/06/2020 21:02:54,28,12.2,54.04,0.75,11.4,39.8,Off,7.74,0.48,
05/06/2020 21:03:05,29,12.7,54.53,0.75,11.4,39.8,Off,7.73,0.47,
05/06/2020 21:03:16,30,12.6,54.53,1.0,11.4,39.8,Off,7.73,0.47,
05/06/2020 21:03:27,31,15.0,54.04,0.75,11.4,39.8,Off,7.73,0.47,
05/06/2020 21:03:39,32,16.9,54.04,1.0,11.4,39.8,Off,7.72,0.46,
05/06/2020 21:03:50,33,13.7,53.56,1.0,11.4,39.8,Off,7.72,0.46,
05/06/2020 21:04:01,34,10.0,53.56,1.0,11.4,39.8,Off,7.72,0.46,
05/06/2020 21:04:12,35,7.9,54.04,1.0,11.4,39.8,Off,7.72,0.46,
