Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 21:08:26,1,13.1,54.04,0.75,11.4,39.8,Off,7.65,0.38,
05/06/2020 21:08:37,2,12.4,53.07,0.75,11.4,39.8,Off,7.64,0.38,
05/06/2020 21:08:48,3,10.4,54.04,0.75,11.4,39.8,Off,7.64,0.38,
05/06/2020 21:08:59,4,17.8,54.04,1.5,11.4,39.8,Off,7.64,0.38,
05/06/2020 21:09:10,5,13.0,54.04,1.5,11.4,39.8,Off,7.63,0.37,
05/06/2020 21:09:21,6,12.2,54.04,1.0,11.4,39.8,Off,7.63,0.37,
05/06/2020 21:09:32,7,12.2,53.56,0.75,11.4,39.8,Off,7.63,0.37,
05/06/2020 21:09:43,8,11.8,54.04,0.75,11.4,39.8,Off,7.62,0.36,
05/06/2020 21:09:55,9,14.1,53.07,1.0,11.4,39.8,Off,7.62,0.36,
05/06/2020 21:10:06,10,12.3,54.53,1.0,11.4,39.8,Off,7.62,0.36,
05/06/2020 21:10:17,11,14.4,54.04,0.75,11.4,39.8,Off,7.61,0.35,
05/06/2020 21:10:28,12,16.1,52.58,1.0,11.4,39.8,Off,7.61,0.35,
05/06/2020 21:10:40,13,12.9,53.56,1.0,11.4,39.8,Off,7.61,0.35,
05/06/2020 21:10:51,14,10.9,54.04,1.0,11.4,39.8,Off,7.6,0.34,
05/06/2020 21:11:02,15,11.6,53.56,1.0,11.4,39.8,Off,7.6,0.34,
05/06/2020 21:11:13,16,10.4,53.56,1.0,11.4,39.8,Off,7.6,0.34,
05/06/2020 21:11:24,17,11.3,54.04,1.5,11.4,39.8,Off,7.6,0.34,
05/06/2020 21:11:35,18,13.1,54.04,0.75,11.4,39.8,Off,7.59,0.33,
05/06/2020 21:11:46,19,15.3,54.04,0.75,11.4,39.8,Off,7.59,0.33,
05/06/2020 21:11:57,20,17.1,54.04,1.0,11.4,39.8,Off,7.59,0.33,
05/06/2020 21:12:08,21,13.4,54.04,1.0,11.4,39.8,Off,7.58,0.32,
05/06/2020 21:12:19,22,10.8,53.56,1.0,11.4,39.8,Off,7.58,0.32,
05/06/2020 21:12:31,23,11.1,52.58,0.75,11.4,39.8,Off,7.58,0.32,
05/06/2020 21:12:42,24,9.3,54.04,0.75,11.4,39.8,Off,7.57,0.31,
05/06/2020 21:12:53,25,11.6,53.56,0.75,11.4,39.8,Off,7.57,0.31,
05/06/2020 21:13:04,26,9.2,53.56,1.5,11.4,39.8,Off,7.57,0.31,
05/06/2020 21:13:15,27,17.7,53.07,1.0,11.4,39.8,Off,7.56,0.3,
05/06/2020 21:13:26,28,14.2,53.56,1.0,11.4,39.8,Off,7.56,0.3,
05/06/2020 21:13:38,29,10.7,53.56,1.0,11.4,39.8,Off,7.56,0.3,
