Time,Count,Cpu Load,Temp,Cpu Freq,Cpu Mem,Cpu Disk,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 16:41:25,1,20.1%,58.43C,1.0GHz,32.2%,39.8%,Off,12.1,4.84,
05/06/2020 16:41:36,2,13.3%,58.43C,1.5GHz,32.6%,39.8%,Off,12.09,4.83,
05/06/2020 16:41:47,3,19.1%,56.97C,1.5GHz,32.5%,39.8%,Off,12.09,4.83,
05/06/2020 16:41:58,4,15.6%,57.94C,1.0GHz,32.6%,39.8%,Off,12.09,4.83,
05/06/2020 16:42:09,5,13.8%,57.45C,1.5GHz,32.5%,39.8%,Off,12.08,4.82,
05/06/2020 16:42:20,6,12.0%,57.45C,1.5GHz,32.5%,39.8%,Off,12.08,4.82,
05/06/2020 16:42:31,7,13.4%,56.97C,0.75GHz,32.5%,39.8%,Off,12.08,4.82,
05/06/2020 16:42:42,8,26.0%,58.43C,1.5GHz,32.7%,39.8%,Off,12.07,4.81,
05/06/2020 16:42:53,9,20.4%,59.4C,1.5GHz,32.8%,39.8%,Off,12.07,4.81,
05/06/2020 16:43:04,10,42.1%,58.43C,1.5GHz,32.8%,39.8%,Off,12.07,4.81,
05/06/2020 16:43:16,11,20.0%,58.91C,1.5GHz,32.5%,39.8%,Off,12.06,4.8,
05/06/2020 16:43:27,12,25.4%,58.43C,1.5GHz,32.6%,39.8%,Off,12.06,4.8,
05/06/2020 16:43:38,13,20.4%,58.43C,1.5GHz,32.8%,39.8%,Off,12.06,4.8,
05/06/2020 16:43:49,14,16.3%,58.91C,1.5GHz,32.8%,39.8%,Off,12.06,4.8,
05/06/2020 16:44:00,15,18.4%,59.4C,1.5GHz,32.7%,39.8%,Off,12.05,4.79,
