Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 16:44:25,1,10.4,57.45,0.75,32.3,39.8,Off,12.05,4.79,
05/06/2020 16:44:36,2,16.4,57.45,1.5,32.6,39.8,Off,12.04,4.78,
05/06/2020 16:44:47,3,19.4,58.43,1.5,32.5,39.8,Off,12.04,4.78,
05/06/2020 16:44:58,4,20.1,57.94,1.5,32.6,39.8,Off,12.04,4.78,
05/06/2020 16:45:09,5,14.0,56.97,0.75,32.5,39.8,Off,12.03,4.77,
05/06/2020 16:45:20,6,14.9,56.97,1.5,32.5,39.8,Off,12.03,4.77,
05/06/2020 16:45:31,7,12.3,57.94,1.5,32.5,39.8,Off,12.03,4.77,
05/06/2020 16:45:42,8,54.1,57.94,1.5,32.8,39.8,Off,12.02,4.76,
05/06/2020 16:45:53,9,16.5,57.94,0.75,32.8,39.8,Off,12.02,4.76,
05/06/2020 16:46:04,10,23.1,59.4,1.0,33.3,39.8,Off,12.02,4.76,
05/06/2020 16:46:15,11,20.6,58.43,1.5,36.2,39.8,Off,12.01,4.75,
05/06/2020 16:46:26,12,12.7,59.89,0.75,37.7,39.8,Off,12.01,4.75,
05/06/2020 16:46:37,13,12.1,57.94,1.5,37.6,39.8,Off,12.01,4.75,
05/06/2020 16:46:48,14,13.7,57.94,1.5,37.5,39.8,Off,12.01,4.75,
05/06/2020 16:46:59,15,14.1,57.94,0.75,37.5,39.8,Off,12.0,4.74,
05/06/2020 16:47:11,16,34.1,58.91,1.5,38.0,39.8,Off,12.0,4.74,
05/06/2020 16:47:22,17,15.2,58.91,0.75,37.6,39.8,Off,12.0,4.74,
05/06/2020 16:47:33,18,21.2,58.43,1.0,37.7,39.8,Off,11.99,4.73,
05/06/2020 16:47:44,19,18.1,58.43,1.5,37.7,39.8,Off,11.99,4.73,
05/06/2020 16:47:55,20,37.0,57.94,1.5,38.2,39.8,Off,11.99,4.73,
05/06/2020 16:48:06,21,18.1,58.43,1.5,38.1,39.8,Off,11.98,4.72,
05/06/2020 16:48:17,22,10.7,58.43,1.5,38.0,39.8,Off,11.98,4.72,
05/06/2020 16:48:28,23,15.5,58.43,1.0,38.1,39.8,Off,11.98,4.72,
05/06/2020 16:48:39,24,14.3,57.94,1.5,38.1,39.8,Off,11.97,4.71,
05/06/2020 16:48:50,25,22.6,58.91,1.5,38.1,39.8,Off,11.97,4.71,
05/06/2020 16:49:01,26,15.6,59.4,1.5,38.1,39.8,Off,11.97,4.71,
05/06/2020 16:49:12,27,14.9,57.94,0.75,38.1,39.8,Off,11.97,4.71,
05/06/2020 16:49:23,28,14.6,56.48,1.5,38.1,39.8,Off,11.96,4.7,
05/06/2020 16:49:34,29,11.6,58.43,1.0,38.1,39.8,Off,11.96,4.7,
05/06/2020 16:49:45,30,15.4,58.43,1.0,38.2,39.8,Off,11.96,4.7,
05/06/2020 16:49:56,31,14.3,56.48,1.0,38.1,39.8,Off,11.95,4.69,
05/06/2020 16:50:07,32,18.8,57.45,1.5,38.1,39.8,Off,11.95,4.69,
05/06/2020 16:50:18,33,19.5,56.97,1.0,38.1,39.8,Off,11.95,4.69,
05/06/2020 16:50:29,34,15.8,56.97,1.5,38.1,39.8,Off,11.94,4.68,
05/06/2020 16:50:40,35,11.4,56.97,1.0,38.1,39.8,Off,11.94,4.68,
05/06/2020 16:50:51,36,14.0,57.94,1.0,38.1,39.8,Off,11.94,4.68,
05/06/2020 16:51:02,37,26.8,57.45,1.5,38.2,39.8,Off,11.93,4.67,
05/06/2020 16:51:13,38,13.2,58.43,1.5,38.1,39.8,Off,11.93,4.67,
05/06/2020 16:51:24,39,19.1,58.43,1.5,38.1,39.8,Off,11.93,4.67,
05/06/2020 16:51:35,40,17.2,58.43,1.5,38.1,39.8,Off,11.93,4.67,
05/06/2020 16:51:46,41,13.3,57.94,1.5,38.4,39.8,Off,11.92,4.66,
05/06/2020 16:51:57,42,13.8,58.43,0.75,38.5,39.8,Off,11.92,4.66,
05/06/2020 16:52:08,43,15.4,57.45,1.0,38.2,39.8,Off,11.92,4.66,
05/06/2020 16:52:19,44,11.7,57.94,1.5,38.2,39.8,Off,11.91,4.65,
05/06/2020 16:52:30,45,14.8,58.91,1.5,38.5,39.8,Off,11.91,4.65,
05/06/2020 16:52:41,46,14.2,58.43,1.0,38.1,39.8,Off,11.91,4.65,
05/06/2020 16:52:52,47,39.4,57.94,1.5,38.4,39.8,Off,11.9,4.64,
