Time,Count,Cpu Load,Temp,Cpu Freq,Cpu Mem,Cpu Disk,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 16:33:15,not set,18.1%,57.94C,1.0GHz,28.1%,39.8%,Off,12.23,4.97,
05/06/2020 16:33:26,not set,12.3%,57.45C,1.0GHz,28.3%,39.8%,Off,12.23,4.97,
05/06/2020 16:33:37,not set,13.4%,57.94C,0.75GHz,28.3%,39.8%,Off,12.23,4.97,
05/06/2020 16:33:48,not set,9.3%,57.45C,1.5GHz,28.3%,39.8%,Off,12.22,4.96,
05/06/2020 16:33:59,not set,19.5%,58.91C,1.0GHz,28.7%,39.8%,Off,12.22,4.96,
05/06/2020 16:34:10,not set,15.5%,58.43C,1.5GHz,28.9%,39.8%,Off,12.22,4.96,
05/06/2020 16:34:21,not set,15.0%,57.94C,1.5GHz,28.7%,39.8%,Off,12.21,4.95,
05/06/2020 16:34:32,not set,20.4%,59.4C,1.5GHz,33.0%,39.8%,Off,12.21,4.95,
05/06/2020 16:34:43,not set,17.4%,58.43C,1.0GHz,32.6%,39.8%,Off,12.21,4.95,
05/06/2020 16:34:54,not set,14.0%,57.94C,1.5GHz,32.7%,39.8%,Off,12.2,4.94,
05/06/2020 16:35:05,not set,26.7%,57.94C,1.5GHz,32.8%,39.8%,Off,12.2,4.94,
05/06/2020 16:35:16,not set,19.3%,59.4C,1.5GHz,33.0%,39.8%,Off,12.2,4.94,
05/06/2020 16:35:27,not set,19.1%,58.91C,1.5GHz,32.7%,39.8%,Off,12.19,4.93,
05/06/2020 16:35:38,not set,21.0%,58.91C,1.5GHz,33.0%,39.8%,Off,12.19,4.93,
05/06/2020 16:35:49,not set,22.4%,59.4C,1.0GHz,32.8%,39.8%,Off,12.19,4.93,
