Time,Count,Cpu Load-%,Temp-C,Cpu Freq-GHz,Cpu Mem-%,Cpu Disk-%,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 17:28:48,1,9.1,57.45,1.0,40.6,39.8,Off,11.31,4.05,
05/06/2020 17:28:59,2,14.2,58.43,1.0,40.8,39.8,Off,11.3,4.04,
05/06/2020 17:29:10,3,16.2,57.94,1.5,40.8,39.8,Off,11.3,4.04,
05/06/2020 17:29:21,4,22.1,56.97,1.0,40.8,39.8,Off,11.3,4.04,
05/06/2020 17:29:32,5,13.0,57.94,1.0,41.1,39.8,Off,11.29,4.03,
05/06/2020 17:29:43,6,13.7,56.97,0.75,40.8,39.8,Off,11.29,4.03,
05/06/2020 17:29:54,7,17.3,57.94,1.0,41.0,39.8,Off,11.29,4.03,
05/06/2020 17:30:05,8,12.8,57.45,1.5,40.9,39.8,Off,11.28,4.02,
05/06/2020 17:30:16,9,11.1,57.94,1.5,41.4,39.8,Off,11.28,4.02,
05/06/2020 17:30:28,10,12.4,57.45,1.0,40.9,39.8,Off,11.28,4.02,
05/06/2020 17:30:39,11,20.2,57.45,1.0,41.2,39.8,Off,11.27,4.01,
05/06/2020 17:30:50,12,14.3,56.48,1.5,41.0,39.8,Off,11.27,4.01,
05/06/2020 17:31:01,13,12.9,57.45,1.5,41.0,39.8,Off,11.27,4.01,
05/06/2020 17:31:12,14,15.1,56.48,1.0,41.0,39.8,Off,11.27,4.01,
05/06/2020 17:31:23,15,9.4,58.43,0.75,41.0,39.8,Off,11.26,4.0,
05/06/2020 17:31:34,16,13.2,57.45,1.5,41.1,39.8,Off,11.26,4.0,
05/06/2020 17:31:46,17,11.3,57.45,1.0,41.1,39.8,Off,11.26,4.0,
05/06/2020 17:31:57,18,14.3,58.43,1.0,41.1,39.8,Off,11.25,3.99,
05/06/2020 17:32:08,19,18.8,58.43,1.5,41.1,39.8,Off,11.25,3.99,
05/06/2020 17:32:19,20,13.7,57.94,1.5,41.0,39.8,Off,11.25,3.99,
05/06/2020 17:32:30,21,11.4,58.43,1.0,41.1,39.8,Off,11.24,3.98,
05/06/2020 17:32:41,22,29.4,56.97,1.5,42.7,39.8,Off,11.24,3.98,
05/06/2020 17:32:52,23,28.8,57.45,1.5,42.7,39.8,Off,11.24,3.98,
05/06/2020 17:33:03,24,17.5,58.43,1.5,42.4,39.8,Off,11.23,3.97,
05/06/2020 17:33:15,25,17.6,58.43,1.5,42.6,39.8,Off,11.23,3.97,
05/06/2020 17:33:26,26,28.7,59.4,1.0,42.4,39.8,Off,11.23,3.97,
05/06/2020 17:33:37,27,30.5,58.43,1.0,42.6,39.8,Off,11.23,3.97,
05/06/2020 17:33:48,28,22.7,58.43,1.5,42.4,39.8,Off,11.22,3.96,
05/06/2020 17:33:59,29,23.3,58.91,1.5,42.6,39.8,Off,11.22,3.96,
05/06/2020 17:34:10,30,20.9,58.43,0.75,42.4,39.8,Off,11.22,3.96,
05/06/2020 17:34:21,31,24.9,58.91,1.5,42.4,39.8,Off,11.21,3.95,
05/06/2020 17:34:32,32,17.2,59.89,1.5,42.6,39.8,Off,11.21,3.95,
05/06/2020 17:34:44,33,25.8,59.89,1.0,42.6,39.8,Off,11.21,3.95,
05/06/2020 17:34:55,34,28.6,59.89,1.5,42.4,39.8,Off,11.2,3.94,
05/06/2020 17:35:06,35,23.7,58.43,1.0,42.4,39.8,Off,11.2,3.94,
05/06/2020 17:35:17,36,28.6,59.4,1.5,42.5,39.8,Off,11.2,3.94,
05/06/2020 17:35:29,37,21.3,59.4,1.0,42.6,39.8,Off,11.19,3.93,
05/06/2020 17:35:40,38,29.8,59.89,1.5,42.6,39.8,Off,11.19,3.93,
05/06/2020 17:35:51,39,18.7,59.4,1.5,42.4,39.8,Off,11.19,3.93,
05/06/2020 17:36:02,40,23.2,59.4,1.5,42.4,39.8,Off,11.19,3.92,
05/06/2020 17:36:13,41,16.7,60.37,1.0,43.2,39.8,Off,11.18,3.92,
05/06/2020 17:36:24,42,29.3,58.91,1.5,42.3,39.8,Off,11.18,3.92,
05/06/2020 17:36:35,43,27.3,60.86,1.5,42.6,39.8,Off,11.18,3.92,
05/06/2020 17:36:46,44,26.6,60.37,1.5,42.6,39.8,Off,11.17,3.91,
05/06/2020 17:36:57,45,23.2,59.89,1.5,42.7,39.8,Off,11.17,3.91,
05/06/2020 17:37:08,46,22.1,60.37,1.0,42.6,39.8,Off,11.17,3.91,
05/06/2020 17:37:19,47,22.8,58.91,1.0,42.8,39.8,Off,11.16,3.9,
05/06/2020 17:37:30,48,20.0,58.91,0.75,42.6,39.8,Off,11.16,3.9,
05/06/2020 17:37:42,49,16.9,60.37,1.5,42.7,39.8,Off,11.16,3.9,
05/06/2020 17:37:53,50,33.1,59.89,1.5,42.8,39.8,Off,11.15,3.89,
05/06/2020 17:38:04,51,25.9,58.91,1.0,42.9,39.8,Off,11.15,3.89,
05/06/2020 17:38:15,52,15.2,59.89,1.0,43.0,39.8,Off,11.15,3.89,
05/06/2020 17:38:27,53,13.1,59.4,0.75,42.7,39.8,Off,11.14,3.88,
05/06/2020 17:38:38,54,17.3,59.89,1.0,42.9,39.8,Off,11.14,3.88,
05/06/2020 17:38:49,55,19.5,59.4,0.75,42.5,39.8,Off,11.14,3.88,
05/06/2020 17:39:00,56,21.4,59.4,1.0,42.7,39.8,Off,11.14,3.88,
05/06/2020 17:39:11,57,19.8,59.89,1.0,43.0,39.8,Off,11.13,3.87,
05/06/2020 17:39:22,58,26.4,58.91,1.0,42.6,39.8,Off,11.13,3.87,
05/06/2020 17:39:33,59,18.7,58.43,1.5,42.6,39.8,Off,11.13,3.87,
05/06/2020 17:39:44,60,20.4,58.91,1.5,42.6,39.8,Off,11.12,3.86,
05/06/2020 17:39:56,61,24.4,59.4,1.5,42.8,39.8,Off,11.12,3.86,
05/06/2020 17:40:07,62,22.8,59.89,1.5,42.7,39.8,Off,11.12,3.86,
05/06/2020 17:40:18,63,21.3,60.37,1.5,42.7,39.8,Off,11.11,3.85,
05/06/2020 17:40:29,64,17.9,59.89,0.75,42.6,39.8,Off,11.11,3.85,
05/06/2020 17:40:40,65,23.4,61.35,1.5,42.8,39.8,Off,11.11,3.85,
05/06/2020 17:40:51,66,18.9,59.89,0.75,42.7,39.8,Off,11.1,3.84,
05/06/2020 17:41:02,67,25.3,58.43,0.75,42.8,39.8,Off,11.1,3.84,
05/06/2020 17:41:13,68,25.4,59.89,1.5,42.7,39.8,Off,11.1,3.84,
05/06/2020 17:41:25,69,12.2,60.37,1.5,42.9,39.8,Off,11.1,3.84,
05/06/2020 17:41:36,70,25.7,59.89,1.5,42.5,39.8,Off,11.09,3.83,
05/06/2020 17:41:47,71,24.5,59.4,1.0,42.5,39.8,Off,11.09,3.83,
05/06/2020 17:41:58,72,31.0,60.86,1.5,42.7,39.8,Off,11.09,3.83,
05/06/2020 17:42:09,73,31.8,59.4,1.5,42.7,39.8,Off,11.08,3.82,
05/06/2020 17:42:20,74,23.6,59.89,1.0,42.7,39.8,Off,11.08,3.82,
05/06/2020 17:42:31,75,25.7,58.91,0.75,42.5,39.8,Off,11.08,3.82,
05/06/2020 17:42:42,76,17.8,59.4,1.5,42.5,39.8,Off,11.07,3.81,
05/06/2020 17:42:54,77,22.0,59.89,1.5,42.8,39.8,Off,11.07,3.81,
05/06/2020 17:43:05,78,23.2,59.89,1.5,42.6,39.8,Off,11.07,3.81,
05/06/2020 17:43:16,79,44.6,60.37,1.5,42.6,39.8,Off,11.06,3.8,
05/06/2020 17:43:27,80,25.0,60.37,1.0,42.5,39.8,Off,11.06,3.8,
05/06/2020 17:43:38,81,22.0,60.37,1.5,43.1,39.8,Off,11.06,3.8,
05/06/2020 17:43:49,82,32.2,59.89,1.5,42.8,39.8,Off,11.06,3.8,
05/06/2020 17:44:00,83,38.5,59.4,1.5,43.1,39.8,Off,11.05,3.79,
05/06/2020 17:44:11,84,20.9,58.91,0.75,42.5,39.8,Off,11.05,3.79,
05/06/2020 17:44:23,85,16.7,60.86,1.5,42.6,39.8,Off,11.05,3.79,
05/06/2020 17:44:34,86,33.8,59.89,1.5,43.3,39.8,Off,11.04,3.78,
05/06/2020 17:44:45,87,12.4,60.37,1.5,43.7,39.8,Off,11.04,3.78,
05/06/2020 17:44:56,88,25.0,60.86,1.5,46.0,39.8,Off,11.04,3.78,
05/06/2020 17:45:08,89,27.7,60.37,1.0,46.0,39.8,Off,11.03,3.77,
05/06/2020 17:45:19,90,48.5,60.37,1.5,46.5,39.8,Off,11.03,3.77,
05/06/2020 17:45:30,91,37.8,60.86,1.5,46.1,39.8,Off,11.03,3.77,
05/06/2020 17:45:41,92,30.6,60.86,1.5,45.9,39.8,Off,11.02,3.76,
